ID,study_title,hypothesis_statement,effect_of_interest,statistical_result,df_t,t_statistic,p_value_t,es,ci_es,df1_f,df2_f,f_statistic,p_value_f,es_f,ci_f,preregistration,raw_data,access_raw_data,Any_stats?,p-values?,test_stats?,Df?,ES?,CI_ES?,,Colour Legend,
338,Aerobic high-intensity intervals are superior to improve V̇O2max compared with sprint intervals in well-trained men,"we hypothesized that (1) HIIT, carried out as 4 × 4 min at ~95% MAS with 3 min active recovery periods, would improve V̇O2max more than the two SIT protocols, carried out as 8 × 20 s until absolute exhaustion (~150% MAS) with 10 s passive recovery pe- riods, and 10 × 30 s of maximal effort (~175% MAS) with 3.5 min active recovery periods, respectively. (3) no differences between HIIT and SIT would be apparent for running economy and LT as a percentage of VȮ 2max.",difference of means,"The increases in V̇O2max (ml kg−0.75 min−1 and ml kg−1 min−1) and maximal O2 pulse (mlkg−1 beat−1) were larger in HIIT 4 × 4 min compared with both SIT groups (p < 0.05, Figure 3; Table 2).",,,p < 0.05,not reported,not reported,,,,,,,no,no,,Yes,Yes,No,No,No,No,,,
339,Rehabilitation for post-COVID-19 condition through a supervised exercise intervention: A randomized controlled trial,We hypothesized that the intervention would better improve physical and mental status after 8 weeks of physical training compared to the conventional self-management recommendations.,main effect,VO2max improved more in the intervention group than in the control group (p = 0.035),,,,,,,,,p = 0.035,standardised,no,clinical trial,yes,yes,Yes,Yes,No,No,standardised,No,,,
340,"Effect of concentric and eccentric hamstring training on sprint recovery, strength and muscle architecture in inexperienced athletes","We hypothesised that adaptations induced by eccentric training would, in comparison with concentric training, result in a better maintenance of sprint performance between sessions and reduced markers of muscle damage (passive hamstring torques, perceived muscle soreness and venous creatine kinase levels (CK)).",difference of means,No significant between-group differences in fastest times were observed in the first (CON = 11.51 s; ECC = 11.32 s; mean difference = 0.18 s; 95% CI = −0.60 to 0.98; p = 0.630; d = 0.07),,,p = 0.630,both types are reported,Yes,,,,,,,no,no,,Yes,Yes,No,No,Both,Yes,,,
341,Concurrent brain endurance training improves endurance exercise performance,we expected that concurrent mental and physical training would improve exercise performance compared to physical training alone.,interaction effect,"Absolute physical task performance was analysed with a 2 group (BET, Control) by 2 test (pre, post) by 3 task (subsequent, solo, concurrent) by 10 time (30-s averages) ANOVA on force produced per second, revealing a group-by-test interaction effect (F1,34 = 6.064, p < 0.05, n2 = .15).",,,,,,1,34,6.064,p < 0.05,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
342,Training wearing thermal clothing and training in hot ambient conditions are equally effective methods of heat acclimation,We hypothesized that effects of training in HEAT and SUIT exert similar effects on exercise performance and that SUITHWI training would exert greater effects on exercise performance.,interaction effect,"There were no dif- ferences between HEAT, SUIT and SUITHWI in improvement of 30- min all-out average power in the heat following the 10-day interven- tion period (9.5 ± 3.8%, 9.5 ± 3.6 and 9.9 ± 5.2%, respectively, main effect: p < 0.001, F = 192.3, interaction effect: p = 0.995, F = 0.005).",,,,,,2,66,0.005,p = 0.995,not reported,no,no,no,,Yes,Yes,Yes,No,No,No,,,
343,The effect of a decrease in stretch-shortening cycle function after cycling on subsequent running,it was hypothesized that the decrease in SSC function after cycling negatively affects cardiorespiratory and bio- mechanical variables in subsequent running.,interaction effect,"A two-way repeated measure ANOVA revealed a significant interac- tion between group (SSC dec, SSC non-dec) and time (pre, post1, and post2) (F2, 28 = 9.77, p = 0.001)",,,,,,2,28,9.77,p = 0.001,not reported,no,no,no,,Yes,Yes,Yes,Yes,No,No,,,
344,Effects of mild heat exposure on fatigue responses during two sets of repeated sprints matched for initial mechanical output,heat stress (in the absence of hyperthermia) would result in greater fatigability and a greater reduction in EMG amplitude during the second versus the first set of sprints due to exaggerated exercise-related re- sponses.,interaction effect,See Table 1. Interaction p = 0.12 n2p = 0.74,,,,,,,,,p = 0.12,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
345,An isometric neck strengthening program does not improve neck strength in elite women's football-code athletes: A randomised controlled trial,It was hypothesised that those who participate in a 12-week isometric neck strengthening program will have greater strength improvements compared to those who do not.,interaction effect,Absolute strength variables (N) displayed no group-by-time interac- tions (p > 0.05),,,,,,,,,p > 0.05,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
346,The Safe Landing warm up technique modification programme: An effective anterior cruciate ligament injury mitigation strategy to improve cutting and jump-movement quality in soccer players,the SL TM intervention would result in improved landing and cutting movement quality without negatively affecting performance in comparison to a CG,main effect,"Large and significant differences were found between IG and CG in COD GCT in both ND (p=0.047, ղ2 =0.160)",,,,,,,,,p = 0.047,standardised,no,no,no,,Yes,Yes,No,No,standardised,No,,,
347,The effects of repeated backward running training on measures of physical fitness in youth male soccer players,"We hypothesised that, compared to regular soccer training, substituting parts of a standard soccer train- ing regimen with RBRT would induce larger improvements in measures of physical fitness in youth male soccer players",main effect,The one-way ANOVA on the change scores revealed a significant difference between groups for all performance tests (p ≤ 0.001). Mean difference -0.20 and ES and 95%CL -2.23 (-3.06; -1.39),,,,,,,,,p < 0.001,both types are reported,Yes,no,no,,Yes,Yes,No,No,Both,Yes,,,
348,Physiological and performance effects of dietary nitrate and N-acetylcysteine supplementation during prolonged heavy-intensity cycling,We hypothesized that combining NO3− and NAC supplementation before 1 h of cycling in the heavy-intensity domain would improve TTE to a greater extent than ingestion of NO3− or NAC alone.,main effect,No differences were found between conditions for TTE at 70%∆ (PL+MAL: 246 ± 134 vs. PL+NAC: 238 ± 149 vs. BR+MAL: 252 ± 118 vs. BR+NAC: 235 ± 140 s; P > 0.05).,,,,,,,,,p > 0.05,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
349,Similar morphological and functional training adaptations occur between continuous and intermittent blood flow restriction,"continuous BFR would be the most effective, and low-load training without BFR would be the least effective protocol for developing muscular hypertrophy and functional outcomes.",interaction effect,There was no significant group effect (p = 0.610) or a time × group interaction (p = 0.285) for thigh muscle CSA measured by pQCT,,,,,,,,,p = 0.285,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
350,Acute effects of whole-body vibration warm-up on leg and vertical stiffness during running,"We hypothesized that acute exposure to WBV could potentially increase leg stiffness through changes in spatiotemporal parameters (flight and contact times, SR, and SL) during running at submaximal speed",interaction effect,"the statistical analysis for leg stiffness revealed significant interaction effects (F(1,21) = 4.493, p = 0.046, η2 = 0.176) between time (pre, post) and condition (type of protocol)",,,,,,1,21,4.493,p = 0.046,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
407,International Journal of Sports Physiology and Performance,"Brain Endurance Training Improves Physical, Cognitive, and Multitasking Performance in Professional Football Players",interaction effect,"The ANOVA yielded a group × time interaction for velocity at the end of the 30–15 IFT (F1,20 = 5.12, P = .04, η2p = .09; Figure 1A).",,,,,,1,20,5.12,p = 0.04,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
408,International Journal of Sports Physiology and Performance,Efficacy of Resisted Sled Sprint Training Compared With Unresisted Sprint Training on Acceleration and Sprint Performancein Rugby Players: An 8-Week Randomized Controlled Trial,main effect,"There was a significant effect for the training group on 10-m sprint time after controlling for baseline value (F1,23 = 17.39; P < .01; η2p = .44)",,,,,,1,23,20.77,p < 0.01,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
409,International Journal of Sports Physiology and Performance,"Mental Fatigue: The Cost of Cognitive Loading on Weight Lifting, Resistance Training, and Cycling Performance",main effect,"Performance during the 20-minute TT, a measure of physical endurance, was impaired by MF. The 2-condition by 6-time ANOVA yielded a main effect of condition for power (F1,14 = 5.65, P = .032, η2p = .19)",,,,,,1,14,5.65,p = 0.032,standardised,no,no,no,,Yes,Yes,Yes,Yes,standardised,No,,,
410,International Journal of Sports Physiology and Performance,Transcranial Direct-Current Stimulation Over the Primary Motor Cortex and Cerebellum Improves Balance and Shooting Accuracy in Elite Ice Hockey Players,difference of means,"Shooting accuracy was significantly increased following both a-tDCSM1 (P = .010, Cohen d = 0.81) and a-tDCSCB (P = .010, Cohen d = 0.92) compared with tDCSSHAM (Figure 6).",,,p = 0.01,standardised,Yes,,,,,,,no,no,,Yes,Yes,No,No,standardised,Yes,,,
411,International Journal of Sports Physiology and Performance,Effects of Load and Focus of Attention on Mechanical Parameters During Bench-Press Throw in Resistance-Trained Men,difference of means,Post hoc analysis indicated significantly larger peak veloci- ties for EXT compared with INT when using loads of 30% (P = .038; d = 0.79),,,p = 0.038,standardised,Yes,,,,,,,no,no,,Yes,Yes,No,No,standardised,Yes,,,
412,International Journal of Sports Physiology and Performance,Simultaneous Upper- and Lower-Limb Postactivation Performance Enhancement After Clean and Jerk,main effect,There was a main effect of condition on CMJ height (F = 5.550; P = .038; power = 0.575),,,,,,1,11,5.55,p = 0.038,not reported,no,no,no,,Yes,Yes,Yes,No,No,No,,,
413,International Journal of Sports Physiology and Performance,The Effects of Neuromuscular Training on Sand Versus Hard Surfaces on Physical Fitness in Young Male Tennis Players,interaction effect,"There was a significant group-by-time interaction effect for CMJ (F=5.07; P=.032), RJT (F=5.26; P = .029), and RSI (F = 8.01; P = .008), with post hoc tests reveal- ing greater increases for the hard group ",,,,,,,,,p = 0.032,not reported,no,no,no,,Yes,Yes,No,No,No,No,,,
414,European Journal of Sport Science,Does anodal tDCS improve basketball performance? A randomized controlled trial,interaction effect,"ANOVAs show significant intervention*time effects on both the shooting accuracy test (F1,51 = 5.6; P = 0.022) and on the Illinois ball-dribbling test (F1,51 = 4.5; P = 0.038)",,,,,,1,51,5.6,p = 0.022,not reported,no,no,no,,Yes,Yes,Yes,Yes,No,No,,,
415,International Journal of Sports Nutrition and Exercise Metabolism,Whey Protein Supplementation Is Superior to Leucine-Matched Collagen Peptides to Increase Muscle Thickness During a 10-Week Resistance Training Program in Untrained Young Adults,interaction effect,"A significant Group × Time interaction indicated a greater increase in vastus lateralis MT (interaction, p = .015; %Δ, WP = 8.4 ± 2.5 vs. CP = 5.6 ± 2.6%, p = .037; Figure 2a)",,,,,,,,,p = 0.037,not reported,no,clinical trial,no,,Yes,Yes,No,No,No,No,,,
